docId,subject,topic,question,optionA,optionB,optionC,optionD,currentAnswer,currentCorrectAnswer,explanation,verdict,action_needed
ACC-2019-032,Accounting,Professional Ethics,Ethical dilemmas in accounting most commonly arise from conflicts between:,Profit maximization and legal compliance.,Conflicting professional duties or values.,Client demands and auditor independence.,All of the above.,D,B,"Ethical dilemmas in accounting often stem from situations where an accountant faces a choice between two or more conflicting professional duties, values, or obligations. This can include balancing the need to maximize profit for a client or employer with the requirement to adhere to legal and ethical standards, or navigating the tension between fulfilling a client's requests and maintaining professional independence.",B,
ACC-2019-035,Accounting,Auditing Principles,The auditor is expected to be familiar with the rules and regulations guiding the operation of a client's business. Which of the following documents primarily contains such rules and regulations for a company?,Memorandum and Articles of Association,Company and Allied Matters Act,Corporate Affairs Commission Guidelines,Company's Prospectus,A,B,"The Memorandum and Articles of Association are the foundational documents that govern the internal workings, objectives, and rules of a company. While the Company and Allied Matters Act provides the overarching legal framework, and CAC guidelines offer specific regulatory directives, the Memorandum and Articles of Association detail the specific rules and regulations under which the company operates internally, which an auditor must understand.",A,
ACC-2019-042,Accounting,Taxation,Which of the following is a valid basis period for the 2017 year of assessment?,I and II only.,II and III only.,I and III only.,II and IV only.,C,B,"The basis period for a year of assessment is typically the accounting period ending within the preceding year. Without specific options for I, II, III, and IV, it's impossible to definitively determine the correct answer. However, assuming standard accounting practices, a basis period ending within the year preceding the year of assessment is valid. The provided options suggest a multiple-choice question where the validity of specific periods (I, II, III, IV) needs to be assessed against the rules for determining the basis period for the 2017 year of assessment.",UNCLEAR,PULL FROM ROTATION - question references options I/II/III/IV that were never provided in the data.
ACC-2019-047,Accounting,Accounting,Lilac Limited commenced business on 1 October 2015 and has chosen 31 December as its year-end. Which of the following is the correct basis period for assessable profit for the second year of assessment?,1/10/2015 - 31/12/2015,1/10/2015 - 30/9/2016,1/10/2015 - 30/9/2017,1/1/2016 - 31/12/2016,D,A,"The first year of assessment is based on the profits of the period from the commencement of business to the first year-end. The second year of assessment is typically based on the profits of the second full year of trading, which in this case is the period from 1 January 2016 to 31 December 2016, as the company's year-end is 31 December.",D,
ACC-2020-016,Accounting,Accounting,"Which of the following items would typically NOT be found in a bank reconciliation statement, as it is already accounted for in the adjusted cash book?",Uncredited cheque,Standing order,Bank charges,Credit transfer,B,A,"A standing order is a payment instruction set up with the bank to automatically transfer a fixed amount on a regular basis. This transaction is processed by the bank and will appear on the bank statement. Therefore, it is already accounted for in the cash book and does not need to be adjusted for in the bank reconciliation statement. Uncredited cheques, bank charges, and credit transfers are items that appear on the bank statement but may not yet be recorded in the cash book, or vice versa, and thus require adjustment.",B,
ACC-2020-034,Accounting,Audit Reports and Opinions,"When an auditor is auditing the statement of financial position of an enterprise and encounters a misstatement that is both material and pervasive (affecting multiple balances), what does this imply and what type of audit opinion should be issued?","It implies that the misstatements are isolated to one area, requiring an adverse opinion.","It implies that the misstatements are pervasive and cannot be isolated to one area, requiring an adverse opinion.","It implies that the misstatements are pervasive and cannot be isolated to one area, requiring a qualified ('except for') opinion.","It implies that the misstatements are isolated to one area, requiring an unqualified opinion.",B,C,"A misstatement that is both material and pervasive means the effects are not confined to specific elements, accounts, or items of the financial statements. In such cases, the auditor should issue an adverse opinion.",B,
ACC-2020-049,Accounting,Personal Income Tax,"The following information is provided in respect of Adeolu for the 2008 assessment year: Salary ₦240,000, Profit on sales of assets ₦82,500, Proceeds from state lottery ₦50,000. How much should Adeolu report as his total assessable income?","₦240,000","₦322,500","₦372,500","₦290,000",B,A,"Assessable income includes salary and profit on the sale of assets. Lottery winnings are generally exempt from personal income tax in Nigeria. Therefore, 240,000 + 82,500 = 322,500.",B,
ACC-2021-003,Accounting,Correction of Errors,"Goods sold on credit to J. Kunle worth N300,000 were wrongly entered in the account of J. Kola. What entries are necessary to correct the error?","Dr. J. Kunle N300,000; Cr. J. Kola N300,000","Dr. J. Kola N300,000; Cr. J. Kunle N300,000","Dr. J. Kola N600,000; Cr. J. Kunle N600,000","Dr. J. Kunle N600,000; Cr. J. Kola N600,000",A,B,"This is an error of commission where the correct amount was recorded but in the wrong personal account. To correct it, the account that was wrongly debited (J. Kola) must be credited, and the account that should have been debited (J. Kunle) must be debited.",A,
ACC-2021-014,Accounting,Partnership Accounts,What is the profit to be shared by the partners for the year?,"N104,000","N114,400","N120,000","N124,000",A,C,The profit to be shared is calculated based on the partnership agreement and the net profit for the year.,UNCLEAR,PULL FROM ROTATION - missing the underlying partnership profit-sharing figures needed to calculate an answer.
ACC-2021-030,Accounting,Control Accounts,What is the effect of a purchase ledger set-off on the trade payables control account?,It will increase the balance of the trade payables control account.,It will increase the balance of the trade receivables control account.,It will reduce the balance of the trade payables control account.,It will have no effect on the trade payables control account.,C,A,"A purchase ledger set-off occurs when a balance is owed to a supplier who is also a customer. The amount is offset against the trade payables, thereby reducing the liability.",C,
