docId,subject,year,status,croppedImagePath,sourceFile,notes
ACC-2021-T002,Accounting,2021,CROPPED,~/crediq/diagram-crops/ACC-2021-T002.jpg,,"Trial balance / ledger data table, from 2021 Accounting.pdf page 13. Confirmed: original PDF presents this as a real two-column table (item | amount), not just prose -- worth showing the real image over the flattened text."
ACC-2021-T003,Accounting,2021,CROPPED,~/crediq/diagram-crops/ACC-2021-T003.jpg,,"Cost data table for products W,X,Z -- spans a page break (2021 Accounting.pdf pages 13-14), stitched into one image."
ACC-2021-T007,Accounting,2021,CROPPED,~/crediq/diagram-crops/ACC-2021-T007.jpg,,"Small profit-by-year table, from 2021 Accounting.pdf page 15."
ACC-2022-T001,Accounting,2022,CROPPED,~/crediq/diagram-crops/ACC-2022-T001.jpg,,"Full trial balance table (M. Mohammed Enterprises), from 2022 Accounting.pdf page 12"
ACC-2022-T003,Accounting,2022,CROPPED,~/crediq/diagram-crops/ACC-2022-T003.jpg,,"Budget/cost-volume-profit table (Kuje and Sons, product Premier), from 2022 Accounting.pdf page 14"
ACC-2022-T004,Accounting,2022,CROPPED,~/crediq/diagram-crops/ACC-2022-T004.jpg,,"Job costing data table (Job G206, Dept E/F), from 2022 Accounting.pdf page 15"
ACC-2022-T007,Accounting,2022,CROPPED,~/crediq/diagram-crops/ACC-2022-T007.jpg,,"Profits-by-year table (Apex Limited), from 2022 Accounting.pdf page 16"
ACC-2022-T008,Accounting,2022,CROPPED,~/crediq/diagram-crops/ACC-2022-T008.jpg,,"Statement of profit or loss (Beautiful Events Nigeria Ltd), from 2022 Accounting.pdf page 16"
ACC-2024-T001,Accounting,2024,CROPPED,~/crediq/diagram-crops/ACC-2024-T001.jpg,,"KOKOMASTER and Sons trial balance, spans page break, stitched. From ACCOUNTING 2024 MCQ & ESSAY_QUESTION.pdf pages 13-14"
ACC-2025-T001,Accounting,2025,CROPPED,~/crediq/diagram-crops/ACC-2025-T001_1.jpg;~/crediq/diagram-crops/ACC-2025-T001_2.jpg,,"Large ICAN Ibadan District Society transactions table (~40 line items, 2021/2022 columns), spans 2 pages -- kept as 2 separate images (diagramUrls array) rather than stitching given the length. From ACCOUNTING 2025 EXAM_MCQ & ESSAY_QUESTION.pdf pages 14-15"
ACC-2025-T003,Accounting,2025,CROPPED,~/crediq/diagram-crops/ACC-2025-T003.jpg,,"Small Taofeek job time table, from ACCOUNTING 2025 EXAM_MCQ & ESSAY_QUESTION.pdf page 17"
ACC-2025-T004,Accounting,2025,CROPPED,~/crediq/diagram-crops/ACC-2025-T004.jpg,,"BCOS LTD monthly activity/cost table, from ACCOUNTING 2025 EXAM_MCQ & ESSAY_QUESTION.pdf page 18"
AGR-2020-T003,Agricultural Science,2020,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
AGR-2025-T005,Agricultural Science,2025,CROPPED,~/crediq/diagram-crops/AGR-2025-T005.jpg,,"Fish feeding chart (Stage/Average age/Body weight%) for part 5(a), from the actual 2025 Agric essay paper (AGRIC_SCIENCE_2025_EXAM_QUESTION.pdf) page 16 -- source PDF supplied 2026-07-31, resolving prior blocker."
