type,collection,docId,subject,topic,question,currentCorrect,currentCorrectText,suggestedCorrect,suggestedCorrectText,confidenceOrMethod,evidence,approved
structural,questions,FRN-2019-003,French,French - 2019,"Puisque l’examen n'est pas facile les paresseux n"" pas de chance Av oa",C,,,,missing/invalid key,"option keys: D, B",
structural,questions,FRN-2019-014,French,French - 2019,L' anniversaire de Michel est 29 juin. C'est pendant,C,,,,missing/invalid key,"option keys: B, A, D",
structural,questions,FRN-2019-016,French,French - 2019,La boite appartient a Elizabeth. Oui est la,C,,,,missing/invalid key,"option keys: B, A, D",
structural,questions,FRN-2020-030,French,French - 2020,"En France, et dans plusieurs pays d'Europe, est la monnaie.",C,,,,missing/invalid key,"option keys: B, A, D",
structural,questions,HIS-2019-019,History,History - 2019,"South Africa's Apartheid laws were repealed on June 17""",C,,,,missing/invalid key,"option keys: D, A, B",
structural,questions,IRS-2022-005,Islamic Religious Studies,Islamic Religious Studies - 2022,The necessary ritual bath after sexual intercourse is,B,,,,missing/invalid key,"option keys: C, D, A",
semantic,questions,ACC-2021-001,Accounting,Users of Financial Information,There are various users of financial information. Which group of users needs information on the port,C,Financial providers,B,Shareholders,100%,"Shareholders are the owners of the company and are primarily interested in the return on their investment, which is distributed in the form of dividends.",yes
semantic,questions,ACC-2021-021,Accounting,Taxation,The following taxes and levies are imposed and collectible by the State Government EXCEPT,C,Business Premises Registration,D,Petroleum Profits Tax,100%,"Petroleum Profits Tax is a tax imposed on the income of companies engaged in upstream petroleum operations and is collected by the Federal Government, not the S",yes
semantic,questions,ACC-2021-043,Accounting,Professional Ethics and Practice,An accountant in public practice can offer all the following services EXCEPT,B,Rendering corporate financial advice.,D,Performing executive accounting functions.,100%,An accountant in public practice provides services to the public as an independent professional. Performing executive accounting functions (such as being an emp,yes
semantic,questions,ACC-2022-009,Accounting,Uncategorized,"Gbengbeleku Limited commenced business on 1% October, 2017 and makes up its account annually to | 31",D,‘Affairs.,C,Changes in Equity. ;,100%,"All statements of financial position, P&L, changes in equity = components of financial statements.",yes
semantic,questions,ACC-2024-033,Accounting,Auditing,"The medium through which an auditor communicates internal control weaknesses, irregularities, or fra",A,Post-audit report,D,Letter of weakness,100%,A management letter is formally known as a 'letter of weakness' or 'letter of recommendations' issued by the auditor to management.,yes
